,Text_token
436,"['sowetan', 'live', 'yes', 'hijacking', 'kidnapping', 'murder', 'standard', 'practice', 'within', 'criminal', 'world', 'south', 'africa', 'get', 'point']"
437,"['hijacking', 'crime', 'run', 'anc', 'committed', 'venous', 'crime', 'people', 'south', 'africa', 'country', 'hijacking', 'liberation', 'struggle', 'reduced', 'colonial', 'institution', 'negated', 'efforts', 'aspirations', 'substantially', 'implement', 'freedom']"
438,"['tracker', 'warns', 'change', 'hijacking', 'trends', 'south', 'africa']"
439,"['scharizw', 'peters', 'wonderboy', 'kaundabongi', 'cameras', 'people', 'let', 'commit', 'crimes', 'south', 'africa', 'involved', 'cross', 'border', 'car', 'hijacking', 'human', 'trafficking']"
440,"['south', 'africa', 'new', 'list', 'hijacking', 'hotspots', 'heres', 'top', '20']"
441,"['south', 'africa', 'new', 'list', 'hijackinghotspots']"
442,"['south', 'africa', 'new', 'list', 'hijackinghotspots']"
443,"['south', 'africa', 'new', 'list', 'hijacking', 'hotspots', 'heres', 'top', '20', '75', 'south', 'africa', 'worst', 'hijacking', 'hotspots', 'based', 'gluten', 'view', 'full', 'list']"
444,"['davidhogg11', 'david', 'south', 'africa', 'government', 'took', 'away', 'guns', 'public', 'crime', 'car', 'hijacking', 'skyrocketing', 'across', 'country', 'rapes', 'assaults', 'robberies', 'pretty', 'easy', 'criminals', 'public', 'defenseless']"
445,"['king58695146', 'foreigners', 'hijacking', 'country', 'load', 'bullshit', 'country', 'still', 'colonial', 'rule', 'blame', 'foreigners', 'scapegoat', '80', 'south', 'africa', 'black', 'account', '20', 'countries', 'wealth', 'foreigners', 'cause']"
446,"['mohlaodi7', 'ruraltarain2', 'note', 'definitely', 'us', 'eff', 'everything', 'south', 'africansperhaps', 'zimbabweans', 'malawians', 'nigeriansetc', 'proven', 'time', 'time', 'africa', 'except', 'south', 'africa', 'hijacking', 'movements', 'started', 'ordinary', 'sa']"
447,"['justmauldie', 'ive', 'visited', 'south', 'africa', 'times', 'enjoyed', 'capetown', 'rest', 'country', 'seemed', 'bit', 'dangerous', 'relax', 'hijacking', 'murder', 'rapes', 'rzburg', 'looting', 'arson', 'urban', 'place', 'seems', 'like', 'lot', 'challenges', 'id', 'visit', 'ct']"
448,"['tap', 'tap', 'trap', 'latest', 'hijacking', 'trend', 'hijacking', 'rise', 'south', 'africa', 'consult', 'pn', 'shortterminsuranceawareness']"
449,"['helicopters', 'used', 'fight', 'poaching', 'car', 'hijacking', 'south', 'africa', 'read', 'featured', 'article', 'latest', 'african', 'aerospace', 'magazine', 'written', 'guy', 'switch', 'africa', 'southafrica', 'aerospace', 'conservation', 'aircraft']"
450,"['jacarandafm', 'tap', 'tap', 'trap', 'latest', 'hijacking', 'trend', 'hijacking', 'rise', 'south', 'africa', 'jack', 'breakfast', 'martin', 'better']"
451,"['tap', 'tap', 'trap', 'latest', 'hijacking', 'trend', 'hijacking', 'rise', 'south', 'africa', 'jack', 'breakfast', 'martin', 'better']"
452,"['tap', 'tap', 'trap', 'latest', 'hijacking', 'trend', 'hijacking', 'rise', 'south', 'africa', 'jack', 'breakfast', 'martin', 'better']"
453,"['jeep', 'wish', 'could', 'say', 'isolated', 'tragedy', 'murder', 'hijacking', 'crap', 'roads', 'drivers', 'vehicles', 'poor', 'conditions', 'welcome', 'south', 'africa']"
454,"['abc', 'news', 'south', 'africa', 'attack', 'foreign', 'nationals', 'political', 'parties', 'president', 'decided', 'ignore', 'evidence', 'day', 'goes', 'without', 'hearing', 'foreigners', 'stealing', 'killing', 'raping', 'robbing', 'destroying', 'infrastructure', 'kidnapping', 'hijacking', 'trafficking', 'etc']"
455,"['croucampm', 'broadband', 'whole', 'world', 'ignoring', 'south', 'africa', 'corruptiontheftbriberyrapehijackingkidnappinghome', 'invasionsrobberiesviolence', 'generalunion', 'demands', 'bee', 'leave', 'anything']"
456,"['results', 'cable', 'theft', 'hijacking', 'kidnapping', 'ransom', 'drugs', 'human', 'trafficking', 'attacked', 'along', 'july', '2020', 'isis', 'threatened', 'expand', 'fighting', 'front', 'south', 'africa', 'south', 'africa', 'entered', 'isis', 'conflict', 'mozambique']"
457,"['day', 'passes', 'without', 'hijacking', 'south', 'africa']"
458,"['hijacking', 'job', 'auckland', 'park', 'south', 'africa']"
459,"['trackers', 'becoming', 'mandatory', 'hijacking', 'trends', 'shift', 'south', 'africa', 'cars']"
460,"['panda', 'rsa', 'crystal', 'happy', 'dont', 'think', 'guys', 'living', 'sa', 'really', 'high', 'numbers', 'murderersrapegb', 'vhijackingchild', 'abuse', 'come', 'someone', 'saying', 'safe', 'south', 'africa', 'want', 'walk', 'corner', 'safer', 'free', 'street', '2', 'elf', 'talking', 'phone', 'come', 'tell', 'us', 'experience']"
461,"['kel', 'oceans', 'hlarediahloga', 'kabelodick', 'south', 'africa', 'political', 'instability', 'decades', 'people', 'fled', 'exile', 'en', 'mass', 'confined', 'refugee', 'camps', 'geneva', 'convention', 'never', 'sold', 'drugs', 'hijacking', 'cable', 'theft', 'human', 'trafficking', 'rest', 'fought', 'hard', 'internally', 'went', 'irritating', 'theory']"
462,"['w', 'kuzwayo', 'cant', 'disagree', 'south', 'africa', 'barely', 'recorded', 'mass', 'shootings', 'elements', 'hijacking', 'rape', 'kidnapping', 'murder', 'muggedpick', 'pocket', 'woman', 'nje', 'unsafe', 'mo', 'means']"
463,"['jacarandafm', 'richard', 'russo', 'director', 'national', 'hijacking', 'prevention', 'academy', 'npa', 'discusses', 'latest', 'crime', 'trends', 'south', 'africa', 'martin', 'better', 'jack', 'breakfast']"
464,"['richard', 'russo', 'director', 'national', 'hijacking', 'prevention', 'academy', 'npa', 'discusses', 'latest', 'crime', 'trends', 'south', 'africa', 'martin', 'better', 'jack', 'breakfast']"
465,"['richard', 'russo', 'director', 'national', 'hijacking', 'prevention', 'academy', 'npa', 'discusses', 'latest', 'crime', 'trends', 'south', 'africa', 'martin', 'better', 'jack', 'breakfast']"
466,"['taxiviolence', 'cit', 'robbery', 'hijacking', 'kidnapping', 'drugdealers', 'corruption', 'gb', 'vmustfall', 'killers', 'machines', 'south', 'africa', 'thank']"
467,"['ashberrysibs', 'owning', 'land', 'needs', 'title', 'side', 'unlike', 'stole', 'slum', 'thought', 'land', 'would', 'equal', 'wealth', 'look', 'parasites', 'south', 'africa', 'land', 'grabbing', 'hijacking', 'buildings']"
468,"['vehicle', 'hijacking', 'one', 'main', 'crimes', 'south', 'africa', 'take', 'free', 'online', 'course', 'learn', 'crime', 'conducted', 'raise', 'situational', 'awareness', 'protect', 'take', 'safe', 'real', 'life', 'decisions', 'take', 'course']"
469,"['vehicle', 'hijacking', 'one', 'main', 'crimes', 'south', 'africa', 'take', 'free', 'online', 'course', 'learn', 'crime', 'conducted', 'raise', 'situational', 'awareness', 'protect', 'take', 'safe', 'real', 'life', 'decisions', 'take', 'course']"
470,"['database', 'reveals', 'two', 'hijacked', 'cars', 'sa', 'tips', 'stay', 'safe', 'secure', 'drives', 'internal', 'database', 'records', 'hijacking', 'incidents', 'revealed', 'cars', 'south', 'africa', 'commonly', 'hijacked']"
471,"['schools', 'south', 'africa', 'think', 'security', 'good', 'sorry', 'bad', 'news', 'schools', 'security', 'property', 'hijacking']"
472,"['soviet', 'era', 'radical', 'economic', 'transformation', 'south', 'africa', 'world', 'remains', 'silent', 'catastrophic', 'failure', 'liberation', 'movement', 'hijacking', 'nation', 'liberal', 'elite', 'wests', 'money', 'support']"
473,"['youve', 'hijacked', 'south', 'africa', 'arrive', 'alive', 'crime', 'hijacking']"
474,"['brandon', 'value', 'kamogel56416651', '54', 'battalion', 'pa', 'illegal', 'migrants', 'come', 'south', 'africa', 'rape', 'country', 'kill', 'daughters', 'sell', 'prostitution', 'feeding', 'boys', 'drugs', 'selling', 'people', 'fake', 'expired', 'goods', 'hijacking', 'buildings', 'evading', 'taxes', 'beating', 'law', 'enforcer', 'scam', 'parents']"
475,"['coming', 'robbery', 'murder', 'hijacking', 'rape', 'continue', 'biggest', 'crimes', 'committed', 'south', 'africa', 'discuss', 'possible', 'causes', 'high', 'crime', 'rate', 'country', 'independent', 'crime', 'analyst', 'chris', 'de', 'rock', 'stv403']"
476,"['south', 'africa', 'one', 'remember', 'criminals', 'specific', 'race', 'gender', 'anyone', 'criminal', 'one', 'biggest', 'problems', 'todays', 'life', 'concerning', 'crime', 'fact', 'trying', 'put', 'face', 'crime', 'property', 'hijacking']"
477,"['month', 'understand', 'bad', 'news', 'world', 'stressful', 'must', 'actually', 'mute', 'south', 'africa', 'nigeria', 'palestine', 'ukraine', 'yemen', 'dr', 'crapehijacking', 'gb', 'forth']"
478,"['south', 'africa', 'one', 'never', 'read', 'something', 'normal', 'sa', 'violence', 'murders', 'fraud', 'hijacking', 'etc', 'group', 'taking', 'fortunes', 'hiluxes', 'around', 'migrant', 'tembisa', 'compton', 'park', 'hijacked', 'mine', 'gun', 'point', 'last', 'year', 'august']"
479,"['south', 'africa', 'emissary', 'hijacking', 'murders', 'fraud', 'raping', 'women', 'copper', 'theft', 'high', 'list', 'armed', 'robberies', 'increasing', 'everything', 'else', 'whats', 'awful', 'live', 'daily', 'motorists', 'shot', 'face', 'attempted', 'hijacking', 'isipingo']"
480,"['worldsmostextreme', 'roads', 'south', 'africa', 'lawless', 'car', 'hijacking', 'broad', 'daylight', 'police', 'laws', 'jail', 'time', 'order', 'shameful', 'south', 'africa', 'shameful', 'lawlessdiscord']"
481,"['south', 'africa', 'nigerian', 'drugs', 'hijacked', 'buildings', 'prostitution', 'basotho', 'illegal', 'mining', 'sama', 'sama', 'mozambicans', 'car', 'hijacking', '4x4', 'particular', 'zimbabweans', 'including', 'house', 'robert', 'rape', 'murder', 'etc', 'south', 'african', 'victims', 'nothing', 'victims']"
482,"['chopra', 'c', 'obese', 'literally', 'scared', 'drones', 'may', 'hit', 'south', 'africa', '20', 'years', 'time', 'rate', 'going', 'cant', 'even', 'put', 'ctv', 'cameras', 'hijacking', 'hotspots', 'citizens', 'eventually', 'go', 'patrol', 'area']"
483,"['182', 'honeymoon', 'murder', 'anni', 'demand', 'south', 'africa', 'hijacking', 'left', 'young', 'bride', 'dead', 'random', 'crime', 'murder', 'hire', 'listen', 'sponsor', 'room', 'sign', 'trial', 'truecrime', 'podcast']"
484,"['jonathan', 'nica', 'boss', 'want', 'find', 'protecting', 'illegal', 'immigrants', 'dudula', 'movement', 'protecting', 'south', 'african', 'thugs', 'thats', 'hijacking', 'buildings', 'south', 'africa']"
485,"['skrrii', 'p', 'levi2556059200', 'dr', 'park', 'patel', 'robert', 'mugabe', 'reason', 'destruction', 'zim', 'limbs', 'illegal', 'south', 'africa', 'n', 'claiming', 'citizenship', 'south', 'africa', 'sick', 'killing', 'stealing', 'hijacking', 'car']"
486,"['mater', 'neville27910284', 'sadly', 'dont', 'think', 'much', 'functioning', 'south', 'africa', 'apart', 'inland', 'revenue', 'criminals', 'functioning', 'kidnapping', 'murdering', 'hijacking', 'robbing', 'people']"
487,"['noordwyk', 'herman', 'sank', 'za', 'note', 'south', 'africa', 'hijacking']"
488,"['safety', 'security', 'dont', 'happen', 'result', 'collective', 'consensus', 'public', 'investment', 'owe', 'children', 'vulnerable', 'citizens', 'society', 'life', 'free', 'violence', 'fear', 'nelson', 'manila', 'south', 'africa', 'wrong', 'property', 'hijacking']"
489,"['south', 'africa', 'africa', 'businesses', 'managers', 'view', 'security', 'ohs', 'perspective', 'wrong', 'property', 'hijacking']"
490,"['south', 'africa', 'lot', 'people', 'basically', 'given', 'attempting', 'prevent', 'crime', 'felt', 'losing', 'battle', 'property', 'hijacking']"
491,"['think', 'many', 'levels', 'story', 'disgusting', 'bad', 'police', 'man', 'killed', 'car', 'hijacking', 'school', 'fuck', 'makes', 'many', 'useless', 'fuck', 'sucked', 'south', 'africa', 'beyond', 'repair', 'time', 'fuck', 'voetsek', 'anc', 'voetsek', 'anc']"
492,"['zimbabwe', 'government', 'calling', 'upon', 'police', 'use', 'spikes', 'saving', 'peoples', 'lives', 'yet', 'south', 'africa', 'creepy', 'using', 'spikes', 'killing', 'hijacking', 'people', 'mbalula', 'file', 'presidency', 'za', 'eff', 'south', 'africa']"
493,"['news24', 'wheels24', 'south', 'africa', 'charging', 'stations', 'become', 'hotspots', 'hijacking', 'robbery']"
494,"['saw', 'hijacking', 'live', 'guys', 'wearing', 'police', 'uniform', 'clicked', 'later', 'hijacking', 'police', 'escorting', 'someone', 'car', 'ak47looking', 'guns', 'south', 'africa', 'ke', 'movie']"
495,"['trackers', 'becoming', 'mandatory', 'hijacking', 'trends', 'shift', 'south', 'africa', 'cars']"
496,"['died', 'hero', 'kn', 'cop', 'killed', 'intervening', 'hijacking', 'outside', 'daughters', 'school', 'learn', 'cryptocurrency', 'stock', 'market', 'free', 'southafrica', 'southafricanews', 'means', 'bitcoin', 'stockmarket']"
497,"['julius', 'male', 'garden', 'godrich', 'sunny', 'side', 'hillbrow', 'compton', 'park', 'etc', 'african', 'brothers', 'member', 'finding', 'creative', 'ways', 'enter', 'sa', 'creative', 'ways', 'survive', 'drugs', 'human', 'trafficking', 'hijacking', 'cars', 'buildings', 'etc', 'killed', 'male', 'anybody', 'else', 'alone', 'rubbish']"
498,"['security', 'guard', 'arrested', 'hijacking', 'allegedly', 'using', 'gun', 'hold', 'gluten', 'motorists', 'learn', 'cryptocurrency', 'stock', 'market', 'free', 'southafrica', 'southafricanews', 'means', 'bitcoin', 'stockmarket']"
499,"['south', 'africa', 'hijacking', 'murder', 'rape', 'armed', 'robbery', 'cit', 'heist', 'violence', 'hot', 'spot', 'crime', 'scene', 'anc', 'government', 'voetsek', 'anc']"
500,"['forces', 'trying', 'influence', 'revolution', 'south', 'africa', 'purpose', 'hijacking', 'started']"
501,"['hosamindeed', 'j', 'greenblatt', 'adl', 'thecrimson', 'apartheid', 'afrikaans', 'word', 'describe', 'afrikaner', 'policy', 'hijacking', 'term', 'condemn', 'israel', 'grounds', 'world', 'condemned', 'south', 'africa', 'align', 'result', 'iranian', 'influence', 'urban', 'vicious', 'lie', 'simpleminded', 'haters']"
502,"['duvenage', 'florida', 'except', 'tomorrow', 'south', 'africa', 'doesnt', 'change', 'yesterday', 'still', 'looting', 'still', 'murders', 'still', 'hijacking', 'still', 'musings', 'every', 'day', 'burning', 'tyres', 'protests', 'strikes', 'nothing', 'changes']"
503,"['pena75562674', 'newsroom405', 'gaddafis', 'debtfree', 'libya', 'clown', 'cant', 'hijacking', 'policies', 'without', 'understanding', 'fundamentals', 'south', 'africa', 'needs', 'tax', 'base', 'fucking', 'grant', 'base', 'need', 'infrastructure', 'economy', 'growing', 'welfare', 'collapse', 'country']"
504,"['de', 'omega', 'africa', 'facts', 'zone', 'free', 'wouldnt', 'selling', 'drugs', 'hijacking', 'buildings', 'south', 'africa']"
505,"['zim', 'eye', 'thugs', 'zimbabweans', 'come', 'south', 'africa', 'without', 'valid', 'documentation', 'busy', 'taking', 'jobs', 'scarce', 'skills', 'busy', 'kind', 'criminality', 'sa', 'ranging', 'cable', 'theft', 'hijacking', 'etc', 'thugs', 'criminals', 'come', 'without', 'passports']"
506,"['africa', 'facts', 'zone', 'tell', 'fellow', 'citizens', 'stop', 'hijacking', 'buildings', 'kidnapping', 'selling', 'drugs', 'country', 'south', 'africa', 'potential', 'rwanda', 'today', 'operation', 'dudula', 'put', 'south', 'african', 'first']"
507,"['north', 'west', 'police', 'sounds', 'alarm', 'increasing', 'truck', 'hijackingincidents']"
508,"['public', 'violence', 'part', 'south', 'africa', 'much', 'rugby', 'braaivleis', 'soccer', 'vuvuzelas', 'needs', 'get', 'proper', 'attention', 'house', 'assessor', 'look', 'precautionary', 'measures', 'public', 'violence', 'property', 'hijacking']"
509,"['crime', 'real', 'south', 'africa', 'read', 'security', 'risk', 'assessment', 'issn', 'independent', 'security', 'risk', 'assessment', 'property', 'hijacking']"
510,"['look', 'crimesrobberies', 'hijacking', 'kidnappings', 'rape', 'drug', 'dealing', 'cashintransit', 'heist', 'committed', 'south', 'africa', 'criminals', 'seen', 'caps', 'doesnt', 'exist']"
511,"['browa', 'prosper', 'boxing', 'data', 'hijacking', 'sa', 'yes', 'u', 'die', 'u', 'take', 'ur', 'south', 'africa', 'along', 'right']"
512,"['justice', 'mallee', 'mbuyiseni', 'ndlozi', 'u', 'mean', 'tell', 'south', 'africa', 'population', 'almost', '60', 'million', 'people', 'terrorist', 'almost', '5', 'million', 'foreigners', 'job', 'stealing', 'cable', 'theft', 'hijackingvendorsdrugs', 'murders', 'foreigners', 'must', 'flying', 'one', 'spot', 'another', 'spot']"
513,"['michel', 'excel102', 'vehicle', 'tracker', 'ori', 'rsa', 'would', 'come', 'way', 'south', 'africa', 'collect', 'number', 'plates', 'car', 'accidents', 'worse', 'hijacking']"
514,"['bk', 'sibusiso', 'msibisks', 'hijacking', 'sa', 'friend', 'basotho', 'lesotho', 'terrorizing', 'south', 'african', 'go', 'zones', 'areas', 'south', 'africa', 'areas', 'run', 'gd', 'illegal', 'foreigners', 'ask', 'people', 'slovoville', 'south', 'african', 'allowed', 'go']"
515,"['geralderans', 'also', 'dont', 'understand', 'peoplehow', 'defend', 'people', 'killing', 'kids', 'future', 'striking', 'country', 'knees', 'railway', 'station', 'cable', 'theft', 'hijacking', 'buildings', 'done', 'south', 'africa', 'go', 'countries', 'cal', 'kwerekere']"
516,"['sphiwegoodwill', 'abramjee', 'agreed', 'anything', 'south', 'africa', 'kidnap', 'murder', 'robbery', 'smash', 'grab', 'hijacking', 'rape', 'plus', 'much', 'without', 'suffering', 'consequences', 'whatsoever', 'let', 'free', 'continue', 'left', 'sad', 'state', 'affairs']"
517,"['romano', 'romazzini', 'imbulanyathi', 'milliselale', 'nontuthuzelo', 'ng1', 'writeforlovetoo', 'lmaz', 'thing', 'always', 'want', 'shift', 'blame', 'never', 'hold', 'people', 'accountable', 'selling', 'drugs', 'trafficking', 'children', 'hijacking', 'south', 'african', 'killing', 'yet', 'want', 'south', 'africa', 'accountable', 'see', 'irony']"
518,"['cry', 'beloved', 'country', 'scenes', 'theft', 'hijacking', 'urban', 'south', 'africa', 'mob', 'stop', 'loot', 'grocery', 'truck', 'undertaken', 'crime', 'criminals', 'south', 'african', 'da', 'many', 'bbc', 'bbc', 'world', 'fox', 'news', 'foxnewsalert', 'sunday', 'times', 'scot', 'e', 'nca', 'msnbc', 'msnbc', 'daily', 'al', 'aljazeera', 'world']"
519,"['generalmanas', 'karabokay200', 'zimbabweans', 'stealing', 'cables', 'south', 'africa', 'hijacking', 'cars', 'mozambique', 'stealing', 'cars', 'also', 'sa', 'majority', 'coming', 'destroy', 'beautiful', 'country', 'thats']"
520,"['davidmuchuchu', 'eff', 'south', 'africa', 'south', 'africa', 'killing', 'raping', 'stealing', 'cables', 'hijacking', 'cars', 'list', 'endless', 'voetsek', 'chimurenga']"
521,"['cleverman001', 'shattawalegh', 'hijacking', 'violent', 'act', 'africa', 'forever', 'backward', 'people', 'like', 'u', 'condone', 'crime', 'go', 'home', 'nigeria', 'n', 'fight', 'bokoharam', 'kidnapping', 'girls', 'brave', 'dont', 'run', 'south', 'africa']"
522,"['justice', 'mallee', 'till', 'titel', 'think', 'buying', 'meaning', 'hijacking', 'south', 'africa']"
523,"['till', 'titel', 'nigerian', 'hijacking', 'flats', 'south', 'africa', 'waiting', 'start', 'hijacking', 'easy', 'hijack', 'without', 'money', 'nigerian', 'south', 'africa', 'please', 'hijack', 'thank']"
524,"['till', 'titel', 'south', 'africa', 'zimbabweans', 'thugs', 'specialize', 'destroying', 'rail', 'cable', 'infrastructure', 'mozambiqueans', 'specialize', 'stealing', 'cars', 'drive', 'across', 'border', 'nigerian', 'specialize', 'hijacking', 'buildings', 'drugs', 'human', 'trafficking', 'size', 'savelelwa']"
525,"['south', 'africa', 'security', 'like', 'secure', 'front', 'door', 'forget', 'back', 'door', 'property', 'hijacking']"
526,"['security', 'gp', 'back', 'front', 'approach', 'security', 'south', 'africa', 'property', 'hijacking']"
527,"['wisdom', 'comes', 'disaster', 'saying', 'perfectly', 'illustrates', 'common', 'attitude', 'security', 'south', 'africa', 'property', 'hijacking']"
528,"['thabomoetji', 'nhlanhlalux', 'automatic', 'rifles', 'probably', 'going', 'used', 'car', 'hijacking', 'heist', 'harmful', 'crimes', 'south', 'africa', 'dayton', 'mc', 'k']"
529,"['shed', 'ugorji', 'admin', 'hacking1', 'sq3761', 'killed', 'mukerjee', 'maria', 'z', 'amnesty', 'said', 'israeli', 'apartheid', 'isnt', 'even', 'comparable', 'south', 'africa', 'palestinians', 'going', 'apartheid', 'hijacking', 'term', 'security', 'measures', 'nothing', 'word', 'game']"
530,"['trackers', 'becoming', 'mandatory', 'hijacking', 'trends', 'shift', 'south', 'africa', 'via', 'businesstech', 'sa']"
531,"['kudamagezi', 'everton', 'luhanga', 'sa', 'police', 'service', 'scroll', 'africa', 'south', 'africa', 'becoming', 'banana', 'republic', 'requested', 'shelter', 'country', 'arrive', 'create', 'false', 'citizenship', 'therefore', 'hijacking', 'state', 'functioning', 'arrogance', 'disrespect', 'lack', 'treason']"
532,"['trackers', 'becoming', 'mandatory', 'hijacking', 'trends', 'shift', 'south', 'africa']"
533,"['trackers', 'becoming', 'mandatory', 'hijacking', 'trends', 'shift', 'south', 'africa']"
534,"['trackers', 'becoming', 'mandatory', 'hijacking', 'trends', 'shift', 'south', 'africa', 'via', 'businesstech', 'sa']"
535,"['trackers', 'becoming', 'mandatory', 'hijacking', 'trends', 'shift', 'south', 'africa']"
536,"['chimaob00448343', 'wasnt', 'raping', 'killing', 'robbing', 'hijacking', 'etc', 'like', 'brothers', 'south', 'africa']"
537,"['adeleyetemmie', 'bmapoma', 'funkyngwenya', 'death', '7', 'diepsloot', 'south', 'africa', 'week', 'led', 'tragic', 'demise', 'elvis', 'nyathi', 'thousands', 'die', 'yearly', 'hijacking', 'cars', 'end', 'either', 'zimbabwe', 'mozambique', 'africa', 'going', 'rise', 'cant', 'face', 'challenges', 'head', 'solve', 'obvious', 'truths']"
538,"['crime', 'committed', 'foreigners', 'south', 'africa', 'increasing', 'concern', 'citizens', 'government', 'unprepared', 'deal', 'problem', 'drugsmurder', 'vehicles', 'building', 'hijacking', 'citizens', 'living', 'fear', 'become', 'prisoners', 'homes']"
539,"['nathinice', 'u', 'forget', 'new', 'tribe', 'south', 'africa', 'times', 'ama', 'time', 'zimbabweans', 'smell', 'like', '3days', 'new', 'born', 'goat', 'maroon', 'skin', 'needs', 'soaked', 'river', 'hard', 'workers', 'stealing', 'tower', 'batteries', 'rate', '1', 'hijacking', 'cars', 'n', 'heist', 'eff', 'brothers']"
540,"['times', 'live', 'terror', 'mobs', 'rule', 'south', 'africa', 'south', 'african', 'live', 'fear', 'terror', 'mobs', 'run', 'amor', 'targeting', 'willy', 'silly', 'killing', 'robbing', 'raping', 'kidnapping', 'hijacking', 'properties', 'invading', 'homes', 'goes', 'undated', 'justice', 'masala']"
541,"['xenophobia', 'south', 'africa', 'propaganda', 'general', 'sentiment', 'ground', 'doesnt', 'hate', 'african', 'migrants', 'live', 'work', 'daily', 'activities', 'concern', 'illegal', 'immigration', 'hijacking', 'buildings', 'crime', 'conducted', 'foreign', 'nationals']"
542,"['driven', 'chapman', 'need', 'honest', 'zimbabweans', 'people', 'mission', 'destroy', 'sa', 'bit', 'bit', 'cable', 'theft', 'railway', 'lines', 'cellphone', 'tower', 'batteries', 'hijacking', 'murder', 'series', 'crimes', 'committed', 'aims', 'foreigners', 'south', 'africa', 'cant', 'address']"
543,"['started', 'day', 'zimbabweans', 'became', 'famous', 'hijacking', 'brutal', 'murders', 'stripping', 'essential', 'infrastructure', 'stealing', 'diesel', 'petroleum', 'along', 'urban', 'rzburg', 'pipelines', 'south', 'africa']"
544,"['maatjie', 'zum', 'sambudla', 'show', 'us', 'proof', 'murder', 'housebreaking', 'hijacking', 'crimes', 'south', 'africa', 'exclusively', 'done', 'foreigners', 'majority']"
545,"['zac', 'moselane', 'money', 'leaving', 'account', 'nothing', 'compared', 'grief', 'go', 'family', 'member', 'shot', 'dead', 'cold', 'blood', 'result', 'hijackingbut', 'guess', 'south', 'africa', 'lives', 'dont', 'matter']"
546,"['hlulanani', 'nomazulunommy', 'car', 'hijacking', 'happening', 'south', 'africa', 'way', 'zimbabweans', 'came', 'sa', 'killed', 'lucky', 'due', 'south', 'african']"
547,"['nomazulunommy', 'south', 'african', 'south', 'africa', 'successfully', 'escaped', 'hijacking', 'zimbabwe', 'nationals', 'driving', '1', 'year', 'old', 'daughter', 'sleeping', 'back', 'seat', 'still', 'trauma', 'till', 'date', 'panic', 'every', 'time', 'pass', 'robot', 'feel', 'unsafe']"
548,"['africa', 'facts', 'zone', 'please', 'pray', 'south', 'africa', 'zimbabweans', 'killing', 'raping', 'hijacking', 'south', 'african', 'south', 'african', 'fighting', 'back']"
549,"['two', 'protesting', 'groups', 'clash', 'whilst', 'protesting', 'community', 'leaders', 'diepsloot', 'accuses', 'operation', 'dudulas', 'nhlanhla', 'lux', 'mohlauli', 'hijacking', 'protest', 'things', 'really', 'bad', 'south', 'africa', 'protests', 'gets', 'hijacked', 'fighting', 'crime', 'wanting', 'shine']"
550,"['gluten', 'south', 'african', 'woman', 'left', 'critical', 'co', 'edition', 'attempted', 'hijacking', 'south', 'africa', 'sa', 'crime', 'hijacking']"
551,"['foreigners', 'fun', 'south', 'africa', 'hijacking', 'cars', 'take', 'across', 'border', '2024', 'silly', 'ans', 'vote', 'da', 'anc', 'eff', 'protects', 'foreigners', 'must', 'kidding', 'punish', '2024', 'come', 'may', 'mass', 'deportation', 'key']"
552,"['abramjee', 'foreigners', 'fun', 'south', 'africa', 'hijacking', 'cars', 'take', 'across', 'border', '2024', 'silly', 'ans', 'vote', 'da', 'anc', 'eff', 'protects', 'foreigners', 'must', 'kidding', 'punish', '2024', 'come', 'may', 'mass', 'deportation', 'key']"
553,"['saw', 'lady', 'whose', 'lying', 'side', 'road', 'really', 'hope', 'shes', 'okay', 'south', 'africa', 'really', 'sucks', 'cause', 'wanted', 'stop', 'couldnt', 'cause', 'hijacking', 'called', 'help', 'also', 'cant', 'trust', 'police', 'actually', 'get', 'even', 'ambulance']"
554,"['security', 'risk', 'assessment', 'south', 'africa', 'never', 'even', 'acknowledged', 'vastly', 'misunderstood', 'property', 'hijacking']"
555,"['tshidilee', 'liz', 'tandem', 'anc', 'created', 'immigration', 'crises', 'south', 'africa', 'since', '1994', 'operation', 'dudula', 'community', 'movement', 'ordinary', 'citizens', 'maybe', 'anc', 'hijacking', 'leaders']"
556,"['nxakanxaka', 'longer', 'hijacking', 'cargo', 'ships', 'established', 'lucrative', 'businesses', 'south', 'africa', 'without', 'government', 'harassing', 'vat', 'taxes', 'yeah', 'theres', 'still', 'coming']"
557,"['herodiuss', 'word', 'hijacking', 'synonymous', 'south', 'africa', 'remember', 'use', 'tell', 'us', 'children', 'get', 'kidnapped', 'taken', 'south', 'africa']"
558,"['maikojai', 'sandra', 'come', 'back', 'later', 'try', 'possibly', 'kill', 'another', 'person', 'hijacking', 'good', 'life', 'goes', 'south', 'africa']"
559,"['nova35562351', 'sourced', 'kindaclose', 'nah', 'hijacking', 'gangs', 'south', 'africa', 'rain', 'bullets', 'intended', 'stop', 'get', 'truck', 'cargo']"
560,"['car', 'hijacked', 'every', '32', 'minutes', 'south', 'africa', 'dont', 'scared', 'prepared', 'helpful', 'hints', 'could', 'save', 'life', 'hijacking']"
561,"['making073', 'ian', 'cameron23', 'anti', 'blackness', 'means', 'coming', 'south', 'africa', 'unlawfully', 'without', 'required', 'papers', 'overtaking', 'commuting', 'crimes', 'south', 'african', 'especially', 'black', 'ones', 'eg', 'identity', 'theft', 'hijacking', 'drugs', 'town', 'ships', 'human', 'trafficking', 'yes']"
